basis,correction,reference_period,rho,sigma_a,seed,object,num_frames,reference_frames,total_physical_frames,num_coefficients,num_pixels,shard,unit_index,mse,rel_mse,psnr,recon_scale,gain_rel_mse,gain_corr,gain_scale
random_uniform,none,0,0.001,0.05,0,0,2048,0,2048,2048,1024,0/1,0,0.03720388914160982,0.44004476027259093,14.294116583854375,0.5292271572667534,,,
random_uniform,oracle,0,0.001,0.05,0,0,2048,0,2048,2048,1024,0/1,0,0.025759009062872967,0.3046755925109436,15.890708480980923,0.6581279612788624,0.0,0.9999999403953552,1.0
random_uniform,agc,0,0.001,0.05,0,0,2048,0,2048,2048,1024,0/1,0,0.02644788581684471,0.31282357416159906,15.776090387431855,0.6545574908270472,6.218945054570213e-05,0.9655168652534485,0.9999991655349731
random_uniform,scgi_proxy,0,0.001,0.05,0,0,2048,0,2048,2048,1024,0/1,0,0.026454262066389945,0.3128989919543973,15.775043484757031,0.6544508093366668,6.214407767402008e-05,0.9655429720878601,0.9999988079071045
random_uniform,scgi_frozen,0,0.001,0.05,0,0,2048,0,2048,2048,1024,0/1,0,0.0845237652001176,0.9997406414487858,10.730211650838413,1.5755056359679633,,,
random_uniform,reference_k2,2,0.001,0.05,0,0,2048,1025,3073,2048,1024,0/1,0,0.025775238724637765,0.3048675557111728,15.88797303685076,0.6575967427363425,1.2094485555280698e-06,0.9993407726287842,0.9999997615814209
random_uniform,reference_k8,8,0.001,0.05,0,0,2048,257,2305,2048,1024,0/1,0,0.02594358320376682,0.3068587213573124,15.859700414302951,0.6542361208778997,7.32095395505894e-06,0.9960063099861145,0.9999973773956299
random_uniform,none,0,0.001,0.05,0,1,2048,0,2048,2048,1024,0/1,1,0.037335806962767046,0.46813303356575797,14.278744575488112,0.5246826398292189,,,
random_uniform,oracle,0,0.001,0.05,0,1,2048,0,2048,2048,1024,0/1,1,0.026422562749763855,0.3312979003497567,15.780250620392698,0.6669651266787907,0.0,0.9999999403953552,1.0
random_uniform,agc,0,0.001,0.05,0,1,2048,0,2048,2048,1024,0/1,1,0.026936376233352932,0.337740323437047,15.69660830577201,0.6680269771040728,5.912774577154778e-05,0.9674177765846252,0.9999831914901733
random_uniform,scgi_proxy,0,0.001,0.05,0,1,2048,0,2048,2048,1024,0/1,1,0.02693402273852826,0.3377108142671273,15.696987775698242,0.6680259797786209,5.881968536414206e-05,0.9675554037094116,0.9999850988388062
random_uniform,scgi_frozen,0,0.001,0.05,0,1,2048,0,2048,2048,1024,0/1,1,0.07970199988804953,0.9993392944756406,10.9853078112023,-2.4612682060340427,,,
